p_date,account,campaign,adset,ad_name,song_id,bid_type,obj_type,cost_usd,impressions,clicks,new_dev,login_dev,solo_open_dev,pub_dev,dur_total_min,obs_dev,ret_dev
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0912,音高线-真人K歌-下载CTA-121200-260907-19_EG_0912,121200,LC,Login,191.92,301979,1052,22,19,17,1,205.5,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0912,音高线-真人K歌-下载CTA-121200-260907-19_IRQ_0912,121200,LC,Login,140.85,358107,1563,34,27,22,1,560.4,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0916,GF-音高线-真人k歌-模板19-131061-260716-lhz-07.mp4_IRQ_0916,131061,LC,Login,129.52,278824,1161,33,27,23,2,316.4,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_MA_LC,代投_登录_IOS_LC_测新_MA_0912,音高线-真人K歌-下载CTA-121200-260907-19_MA_0912,121200,LC,Login,91.89,126194,460,19,16,13,3,347.4,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0916,音高线-真人K歌-下载CTA-499832-260907-15_EG_0916,499832,LC,Login,85.02,109098,501,17,13,12,0,209.7,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0917,音高线-真人K歌-下载CTA-101140-260907-21_EG_0917,101140,LC,Login,78.41,144454,463,15,13,13,0,200.8,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_MA_LC,代投_登录_IOS_LC_测新_MA_0920,音高线_AI车内深夜花衬衫男_歌房5_110326_评论_MA_0920,110326,LC,Login,47.29,87118,250,8,8,7,0,58.4,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0920,音高线_白头巾盲女_歌房5_110326_评论_EG_0920,110326,LC,Login,46.18,67500,219,8,8,6,0,66.6,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0923,音高线_室内帽子男_歌房5_110326_0923_IRQ_0923,110326,LC,Login,15.89,33202,142,5,5,3,0,82.6,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0923,音高线_卷毛室内女_歌房5_110326_EG_0923,110326,LC,Login,15.67,19675,66,2,1,1,0,2.4,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0923,音高线_卷毛室内女_歌房5_110326_0923_IRQ_0923,110326,LC,Login,15.05,22294,86,5,4,4,0,35.2,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0923,音高线_室外皮衣男_歌房5_110326_评论_EG_0923,110326,LC,Login,13.95,20089,69,1,1,1,0,22.1,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0923,音高线_室外皮衣男_歌房5_110326_评论_IRQ_0923,110326,LC,Login,13.15,27821,103,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0916,音高线_AI车内蓝衬衫男_歌房5_110326_EG_0916,110326,LC,Login,12.14,14601,87,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0923,音高线_室内帽子男_歌房5_110326_0923_EG_0923,110326,LC,Login,10.05,17692,54,1,1,1,0,3.6,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0923,音高线_室内眼镜女_歌房5_110326_IRQ_0923,110326,LC,Login,10.05,19623,70,1,1,0,0,0.4,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_MA_LC,代投_登录_IOS_LC_测新_MA_0912,音高线-真人K歌-下载CTA-499832-260907-16_MA_0912,499832,LC,Login,8.7,12818,48,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0923,音高线_卷毛室内女_歌房5_110326_评论_IRQ_0923,110326,LC,Login,7.6,17774,48,1,1,1,0,3.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0916,音高线_白天车内长发男_歌房5_121183_IRQ_0916,121183,LC,Login,6.42,16726,57,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0912,音高线-真人K歌-下载CTA-499832-260907-16_EG_0912,499832,LC,Login,6.27,12899,44,2,1,0,0,1.3,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0923,音高线_卷毛室内女_歌房5_110326_评论_EG_0923,110326,LC,Login,5.84,7290,20,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0923,音高线_室内眼镜女_歌房5_110326_EG_0923,110326,LC,Login,4.89,5606,17,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0920,音高线_眼镜红头巾男_歌房5_101066_评论_EG_0920,101066,LC,Login,3.77,6251,19,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_MA_LC,代投_登录_IOS_LC_测新_MA_0920,音高线-真人K歌-社交分享-100375-260907-24_MA_0920,100375,LC,Login,2.7,3994,23,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0912,音高线-真人K歌-社交分享-100375-260907-24_EG_0912,100375,LC,Login,2.32,5870,12,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0903_IRQ_LC,代投_登录_IOS_LC_测新_IRQ_0916,音高线_车内蓝衬衫男_歌房5_517861_IRQ_0916,517861,LC,Login,1.98,1720,21,0,0,0,0,0.0,0,0
20260924,代投-iOS,SinoInteractive_代投_登录_IOS_唱歌定向_0904_EG_LC,代投_登录_IOS_LC_测新_EG_0916,音高线-真人K歌-社交分享-100375-260907-24_EG_0916,100375,LC,Login,1.88,2673,17,0,0,0,0,0.0,0,0
